termID,termName,termDesc,unitName,dataType,productID,productName,tableName
1,uid,"Unique ID within NEON database; an identifier for the record",NA,string,DP1.20163.001,"Periphyton, seston, and phytoplankton chemical properties",alg_fieldData_pub
1,uid,"Unique ID within NEON database; an identifier for the record",NA,string,DP1.20163.001,"Periphyton, seston, and phytoplankton chemical properties",alg_domainLabChemistry_pub
1,uid,"Unique ID within NEON database; an identifier for the record",NA,string,DP1.20163.001,"Periphyton, seston, and phytoplankton chemical properties",alg_algaeExternalLabDataPerSample_pub
1,uid,"Unique ID within NEON database; an identifier for the record",NA,string,DP1.20163.001,"Periphyton, seston, and phytoplankton chemical properties",asi_externalLabPOMSummaryData_pub
1,uid,"Unique ID within NEON database; an identifier for the record",NA,string,DP0.20065.001,"Plant and algae external lab chemistry",aquchem_plantAlgaeExternalLabData_in
1,uid,"Unique ID within NEON database; an identifier for the record",NA,string,DP0.20065.001,"Plant and algae external lab chemistry",aquchem_plantAlgaeExternalLabQA_in
1,uid,"Unique ID within NEON database; an identifier for the record",NA,string,DP0.20065.001,"Plant and algae external lab chemistry",aquchem_externalLabSummaryData_in
1,uid,"Unique ID within NEON database; an identifier for the record",NA,string,DP0.20206.001,"Stable isotope concentrations in surface waters and groundwater field data",asi_fieldData_in
1,uid,"Unique ID within NEON database; an identifier for the record",NA,string,DP1.20276.001,"Stable isotope concentrations in groundwater",gsi_fieldSuperParent_pub
1,uid,"Unique ID within NEON database; an identifier for the record",NA,string,DP1.20276.001,"Stable isotope concentrations in groundwater",gsi_fieldData_pub
1,uid,"Unique ID within NEON database; an identifier for the record",NA,string,DP1.20276.001,"Stable isotope concentrations in groundwater",gsi_externalLabH2OIsotopes_pub
1,uid,"Unique ID within NEON database; an identifier for the record",NA,string,DP1.20276.001,"Stable isotope concentrations in groundwater",asi_externalLabSummaryData_pub
1,uid,"Unique ID within NEON database; an identifier for the record",NA,string,DP1.20206.001,"Stable isotope concentrations in surface waters",asi_fieldSuperParent_pub
1,uid,"Unique ID within NEON database; an identifier for the record",NA,string,DP1.20206.001,"Stable isotope concentrations in surface waters",asi_fieldData_pub
